Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,
1,Kurt Zouma,fr FRA,DF,West Ham,29-140,1994,23,23,"1,997",22.2,2,0,2,2,0,0,3,0,1.5,1.5,0.1,1.6,5,43,0,0.09,0,0.09,0.09,0.09,0.07,0,0.07,0.07,0.07,Matches,
2,Oleksandr Zinchenko,ua UKR,DF,Arsenal,27-091,1996,22,17,"1,440",16,1,2,3,1,0,0,2,0,0.5,0.5,1.8,2.3,36,196,54,0.06,0.12,0.19,0.06,0.19,0.03,0.11,0.14,0.03,0.14,Matches,
3,Anass Zaroury,ma MAR,"FW,MF",Burnley,23-129,2000,6,1,152,1.7,0,0,0,0,0,0,0,1,0.2,0.2,0,0.2,2,2,12,0,0,0,0,0,0.1,0.02,0.12,0.1,0.12,Matches,
4,Nicolò Zaniolo,it ITA,"MF,FW",Aston Villa,24-257,1999,19,7,592,6.6,1,0,1,1,0,0,6,0,1.8,1.8,0.9,2.7,23,21,45,0.15,0,0.15,0.15,0.15,0.27,0.14,0.41,0.27,0.41,Matches,
5,Illia Zabarnyi,ua UKR,DF,Bournemouth,21-196,2002,28,28,"2,520",28,1,0,1,1,0,0,4,0,1.1,1.1,0.3,1.4,21,90,1,0.04,0,0.04,0.04,0.04,0.04,0.01,0.05,0.04,0.05,Matches,
6,Ashley Young,eng ENG,"DF,MF",Everton,38-250,1985,21,19,"1,528",17,0,0,0,0,0,0,6,1,0.4,0.4,1.2,1.6,28,60,39,0,0,0,0,0,0.03,0.07,0.09,0.03,0.09,Matches,
7,Ryan Yates,eng ENG,MF,Nott'ham Forest,26-115,1997,25,13,"1,331",14.8,0,0,0,0,0,0,4,0,1.7,1.7,0.2,1.8,13,49,32,0,0,0,0,0,0.11,0.01,0.12,0.11,0.12,Matches,
8,Yehor Yarmoliuk,ua UKR,MF,Brentford,20-014,2004,17,4,439,4.9,0,0,0,0,0,0,2,0,,,,,,,,0,0,0,0,0,,,,,,Matches,
9,Joe Worrall,eng ENG,DF,Nott'ham Forest,27-065,1997,7,5,439,4.9,0,0,0,0,0,0,0,1,0.1,0.1,0.2,0.3,0,8,1,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06,Matches,
10,Cauley Woodrow,eng ENG,"FW,MF",Luton Town,29-104,1994,15,2,250,2.8,1,0,1,1,0,0,2,0,1.1,1.1,0.4,1.5,5,4,17,0.36,0,0.36,0.36,0.36,0.39,0.14,0.53,0.39,0.53,Matches,
11,Chris Wood,nz NZL,FW,Nott'ham Forest,32-099,1991,21,10,964,10.7,8,1,9,8,0,0,0,0,5.5,5.5,1.4,6.9,10,16,39,0.75,0.09,0.84,0.75,0.84,0.52,0.13,0.64,0.52,0.64,Matches,
12,Yoane Wissa,cd COD,FW,Brentford,27-194,1996,24,21,"1,820",20.2,7,1,8,7,0,0,4,0,7.6,7.6,2.2,9.8,33,30,105,0.35,0.05,0.4,0.35,0.4,0.38,0.11,0.49,0.38,0.49,Matches,
13,Harry Wilson,wls WAL,FW,Fulham,26-359,1997,26,14,"1,392",15.5,3,4,7,3,0,0,6,0,2.9,2.9,2.7,5.6,30,50,109,0.19,0.26,0.45,0.19,0.45,0.18,0.18,0.36,0.18,0.36,Matches,
14,Callum Wilson,eng ENG,FW,Newcastle Utd,32-017,1992,16,8,862,9.6,7,1,8,5,2,2,2,0,7.2,5.7,0.5,6.2,9,6,63,0.73,0.1,0.84,0.52,0.63,0.76,0.05,0.81,0.59,0.64,Matches,
15,Joe Willock,eng ENG,MF,Newcastle Utd,24-208,1999,6,3,304,3.4,1,0,1,1,0,0,0,0,0.7,0.7,0.4,1.1,11,12,17,0.3,0,0.3,0.3,0.3,0.19,0.13,0.32,0.19,0.32,Matches,
16,Willian,br BRA,FW,Fulham,35-219,1988,23,18,"1,531",17,4,2,6,2,2,2,1,0,4.5,2.9,3,5.9,65,114,137,0.24,0.12,0.35,0.12,0.24,0.27,0.18,0.44,0.17,0.35,Matches,
17,Neco Williams,wls WAL,"DF,FW",Nott'ham Forest,22-337,2001,19,11,"1,067",11.9,0,1,1,0,0,0,3,0,0.3,0.3,1.5,1.8,27,32,48,0,0.08,0.08,0,0.08,0.03,0.13,0.15,0.03,0.15,Matches,
18,Joe White,eng ENG,MF,Newcastle Utd,21-166,2002,2,0,11,0.1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,Matches,
19,Ben White,eng ENG,DF,Arsenal,26-159,1997,27,25,"2,134",23.7,2,4,6,2,0,0,5,0,0.7,0.7,2.3,3,28,136,128,0.08,0.17,0.25,0.08,0.25,0.03,0.1,0.13,0.03,0.13,Matches,
20,Adam Wharton,eng ENG,MF,Crystal Palace,19-287,2004,6,5,455,5.1,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,4,19,2,0,0,0,0,0,0.02,0.12,0.14,0.02,0.14,Matches,
21,Timo Werner,de GER,FW,Tottenham,28-009,1996,7,5,418,4.6,2,2,4,2,0,0,0,0,1.8,1.8,1.5,3.2,44,25,70,0.43,0.43,0.86,0.43,0.86,0.38,0.31,0.69,0.38,0.69,Matches,
22,Danny Welbeck,eng ENG,"FW,MF",Brighton,33-110,1990,19,14,"1,028",11.4,3,1,4,3,0,0,2,0,3.6,3.6,1.3,4.8,20,28,64,0.26,0.09,0.35,0.26,0.35,0.31,0.11,0.42,0.31,0.42,Matches,
23,Adam Webster,eng ENG,DF,Brighton,29-071,1995,10,9,767,8.5,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,11,65,2,0,0,0,0,0,0.03,0.01,0.05,0.03,0.05,Matches,
24,Ollie Watkins,eng ENG,FW,Aston Villa,28-076,1995,28,28,"2,475",27.5,16,10,26,16,0,0,4,0,14.3,14.3,5.4,19.6,47,43,163,0.58,0.36,0.95,0.58,0.95,0.52,0.2,0.71,0.52,0.71,Matches,
25,Deivid Washington,br BRA,DF,Chelsea,18-284,2005,1,0,10,0.1,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,1,0,0,0,0,0,4.19,0,4.19,4.19,4.19,Matches,
26,James Ward-Prowse,eng ENG,MF,West Ham,29-135,1994,27,27,"2,332",25.9,5,7,12,3,2,2,4,0,5.1,3.5,5.6,9.1,17,103,57,0.19,0.27,0.46,0.12,0.39,0.2,0.22,0.41,0.14,0.35,Matches,
27,Joel Ward,eng ENG,DF,Crystal Palace,34-138,1989,20,20,"1,692",18.8,0,1,1,0,0,0,4,0,0.9,0.9,0.2,1.1,16,60,14,0,0.05,0.05,0,0.05,0.05,0.01,0.06,0.05,0.06,Matches,
